product_id,product_taxonomies,action,elasticity_type,current_discount_pct,recommended_discount_pct,base_revenue,base_profit,simulated_revenue,simulated_profit,estimated_discount_cost
P001,commodity,Increase Discount,elastic,0.0,4,58834.55,38830.8,60434.85,39030.84,2518.12
P002,commodity,Increase Discount,elastic,0.0,22,248339.05,193704.46,320697.1,230244.07,90453.03
P003,commodity,Increase Discount,elastic,0.0,2,19623.87,13147.99,19842.95,13161.14,404.96
P004,unknown,Increase Discount,elastic,0.0,27,76242.0,60993.6,114563.67,83176.36,42372.86
P005,unknown,Increase Discount,elastic,0.6,22,205950.1,158295.65,271118.18,191173.08,76469.23
P006,commodity,Increase Discount,elastic,0.0,18,80001.27,60000.95,96538.49,67106.03,21191.38
P007,commodity,Reduce Discount,inelastic,5.6,0,43611.3,32523.68,46198.41,35110.79,0.0
P008,commodity,Reduce Discount,inelastic,5.8,0,42799.58,31895.23,45434.8,34530.45,0.0
P009,commodity,Reduce Discount,inelastic,3.2,0,96469.02,64578.44,99658.08,67767.49,0.0
P010,commodity,Increase Discount,elastic,0.0,23,119136.93,84587.22,173389.15,108086.74,51791.56
P011,commodity,Increase Discount,elastic,0.0,23,94217.2,72547.24,126442.59,88674.03,37768.57
P012,beverage,Reduce Discount,inelastic,7.4,0,291483.59,184459.38,314777.1,207752.89,0.0
P013,beverage,Keep Current,elastic,0.0,0,136924.97,79416.48,136924.97,79416.48,0.0
P014,beverage,Reduce Discount,inelastic,6.3,0,75712.22,41775.05,80802.8,46865.62,0.0
P015,beverage,Reduce Discount,inelastic,4.3,0,19867.29,8656.91,20759.97,9549.59,0.0
P016,beverage,Reduce Discount,elastic,0.8,0,159251.69,87010.5,160535.98,88294.79,0.0
P017,beverage,Increase Discount,elastic,0.0,4,112718.9,64249.77,117213.23,64711.47,4883.88
P018,beverage,Reduce Discount,inelastic,4.7,0,272773.99,118211.6,286226.64,131664.25,0.0
P019,beverage,Reduce Discount,inelastic,7.8,0,63633.9,26364.59,69017.25,31747.94,0.0
P020,beverage,Reduce Discount,inelastic,4.7,0,39904.66,22736.87,41872.68,24704.88,0.0
P021,beverage,Reduce Discount,elastic,0.8,0,122924.08,68401.3,123915.4,69392.62,0.0
P022,beverage,Increase Discount,elastic,0.0,5,143729.74,80488.65,151631.28,81402.06,7980.59
P023,beverage,Keep Current,elastic,0.0,0,49924.08,23963.56,49924.08,23963.56,0.0
P024,beverage,Reduce Discount,elastic,0.7,0,261726.88,124669.5,263571.88,126514.5,0.0
P025,beverage,Reduce Discount,inelastic,3.4,0,9441.68,4359.2,9774.0,4691.52,0.0
P026,beverage,Increase Discount,elastic,0.0,3,99246.52,47638.33,103084.98,47822.93,3188.2
P027,snack,Reduce Discount,inelastic,15.9,0,116641.37,51455.35,138693.66,73507.64,0.0
P028,beverage,Reduce Discount,inelastic,10.7,0,55303.65,24338.56,61930.18,30965.09,0.0
P029,snack,Reduce Discount,elastic,3.0,0,117917.9,57135.48,121564.85,60782.42,0.0
P030,beverage,Keep Current,elastic,0.0,0,161261.16,67729.69,161261.16,67729.69,0.0
P031,snack,Reduce Discount,elastic,4.1,0,28557.41,11881.55,29778.32,13102.46,0.0
P032,snack,Reduce Discount,inelastic,7.7,0,217808.54,83300.56,235978.92,101470.94,0.0
P033,snack,Reduce Discount,elastic,4.8,0,142502.82,66162.03,149687.84,73347.04,0.0
P034,snack,Reduce Discount,inelastic,9.5,0,36929.88,18158.89,40806.5,22035.51,0.0
P035,snack,Reduce Discount,inelastic,9.9,0,63969.41,26340.35,70998.24,33369.17,0.0
P036,snack,Reduce Discount,inelastic,14.6,0,56825.89,22890.05,66540.85,32605.02,0.0
P037,snack,Reduce Discount,inelastic,11.3,0,19844.27,9552.99,22372.35,12081.07,0.0
P038,snack,Keep Current,elastic,0.0,0,41094.56,16848.77,41094.56,16848.77,0.0
P039,snack,Reduce Discount,elastic,6.5,0,260246.7,98810.25,278338.72,116902.26,0.0
P040,fresh_food,Reduce Discount,inelastic,2.2,0,55510.52,19752.21,56759.22,21000.91,0.0
P041,fresh_food,Reduce Discount,inelastic,20.2,0,148254.0,31211.37,185781.96,68739.33,0.0
P042,fresh_food,Reduce Discount,inelastic,18.0,0,14022.93,4959.33,17101.14,8037.54,0.0
P043,fresh_food,Keep Current,elastic,0.0,0,185489.1,68630.97,185489.1,68630.97,0.0
P044,fresh_food,Reduce Discount,inelastic,13.4,0,150948.35,53337.41,174305.25,76694.31,0.0
P045,fresh_food,Reduce Discount,inelastic,18.9,0,37621.24,12107.45,46388.7,20874.91,0.0
P046,fresh_food,Keep Current,inelastic,0.0,0,103722.72,43563.54,103722.72,43563.54,0.0
P047,fresh_food,Keep Current,inelastic,0.0,0,35902.13,12565.75,35902.13,12565.75,0.0
P048,fresh_food,Reduce Discount,elastic,1.4,0,53089.91,21860.55,53843.72,22614.36,0.0
P049,fresh_food,Reduce Discount,inelastic,6.3,0,93554.43,42633.66,99844.64,48923.87,0.0
P050,fresh_food,Keep Current,inelastic,0.0,0,128795.58,63109.83,128795.58,63109.83,0.0
P051,fresh_food,Keep Current,inelastic,0.0,0,302802.64,139289.21,302802.64,139289.21,0.0
P052,fresh_food,Reduce Discount,inelastic,7.4,0,54059.14,16112.66,58379.2,20432.72,0.0
P053,dry_food,Reduce Discount,inelastic,2.9,0,114111.5,37723.78,117519.57,41131.85,0.0
P054,dry_food,Keep Current,inelastic,0.0,0,279621.51,111848.6,279621.51,111848.6,0.0
P055,unknown,Reduce Discount,inelastic,3.6,0,216934.94,77412.47,225036.24,85513.77,0.0
P056,dry_food,Reduce Discount,inelastic,6.9,0,259842.62,95173.29,279100.56,114431.23,0.0
P057,dry_food,Reduce Discount,inelastic,6.4,0,28069.89,9176.7,29989.2,11096.0,0.0
P058,dry_food,Keep Current,elastic,0.0,0,8317.92,3160.81,8317.92,3160.81,0.0
P059,dry_food,Reduce Discount,inelastic,10.7,0,187873.98,67954.42,210385.2,90465.64,0.0
P060,dry_food,Reduce Discount,inelastic,4.1,0,83110.39,25045.78,86663.6,28598.99,0.0
P061,dry_food,Reduce Discount,inelastic,1.8,0,117806.57,50625.64,119965.96,52785.02,0.0
P062,dry_food,Reduce Discount,inelastic,20.7,0,69352.6,18628.13,87455.99,36731.52,0.0
P063,dry_food,Reduce Discount,inelastic,11.0,0,331086.57,100441.99,372007.38,141362.8,0.0
P064,dry_food,Keep Current,elastic,0.0,0,25219.92,11096.76,25219.92,11096.76,0.0
P065,dry_food,Reduce Discount,inelastic,6.2,0,218508.98,71749.22,232952.0,86192.24,0.0
P066,dry_food,Reduce Discount,inelastic,2.0,0,105499.43,36601.84,107652.48,38754.89,0.0
P067,household,Keep Current,inelastic,0.0,0,309910.72,96072.32,309910.72,96072.32,0.0
P068,household,Reduce Discount,inelastic,7.0,0,11531.6,3843.87,12399.57,4711.84,0.0
P069,household,Reduce Discount,inelastic,10.2,0,165903.93,55054.98,184748.25,73899.3,0.0
P070,household,Reduce Discount,inelastic,6.9,0,163849.96,58253.85,175993.51,70397.4,0.0
P071,household,Keep Current,inelastic,0.0,0,70035.2,22411.26,70035.2,22411.26,0.0
P072,household,Keep Current,inelastic,0.0,0,71969.85,22310.65,71969.85,22310.65,0.0
P073,household,Reduce Discount,inelastic,7.0,0,102166.3,26365.5,109856.24,34055.43,0.0
P074,household,Keep Current,inelastic,0.0,0,338842.77,108429.69,338842.77,108429.69,0.0
P075,household,Reduce Discount,inelastic,3.7,0,33173.69,11126.79,34448.28,12401.38,0.0
P076,unknown,Keep Current,inelastic,0.0,0,91800.03,25704.01,91800.03,25704.01,0.0
P077,household,Reduce Discount,inelastic,8.5,0,231123.35,59359.55,252593.82,80830.02,0.0
P078,household,Keep Current,elastic,0.0,0,104978.86,34643.02,104978.86,34643.02,0.0
P079,household,Keep Current,inelastic,0.0,0,59167.76,18342.01,59167.76,18342.01,0.0
P080,household,Keep Current,inelastic,0.0,0,21537.36,6891.96,21537.36,6891.96,0.0
